Date,Product,Region,Sales
2022-04-13,Laptop,West,341
2023-03-12,Laptop,South,3997
2022-09-28,Laptop,South,4195
2022-04-17,Tablet,West,2379
2022-03-13,Camera,West,888
2023-12-02,Smartwatch,North,814
2022-01-21,Camera,South,4954
2023-09-07,Tablet,West,2949
2022-05-02,Smartwatch,West,875
2023-04-12,Camera,South,4126
2022-08-03,Laptop,West,2347
2022-11-27,Monitor,North,178
2023-04-04,Smartwatch,South,4026
2022-03-29,Headphones,North,955
2023-01-08,Headphones,North,2248
2022-04-10,Phone,North,1131
2023-10-26,Smartwatch,North,3371
2022-05-11,Monitor,South,3676
2023-10-24,Tablet,North,4282
2022-11-05,Laptop,North,3556
2022-12-10,Phone,West,3606
2023-05-07,Headphones,South,507
2023-02-18,Tablet,South,2811
2023-01-21,Tablet,East,3188
2022-07-11,Laptop,South,1768
2022-10-04,Smartwatch,South,247
2022-06-10,Headphones,East,4427
2023-04-05,Monitor,South,3997
2022-11-10,Tablet,South,2050
2022-01-22,Laptop,South,465
2022-09-10,Monitor,South,1774
2023-07-15,Smartwatch,East,4631
2023-04-20,Headphones,South,4594
2022-02-28,Smartwatch,South,2646
2023-05-26,Tablet,East,662
2023-11-13,Monitor,West,3662
2023-04-21,Monitor,North,2589
2023-12-01,Monitor,West,872
2022-07-09,Tablet,East,2137
2023-11-18,Tablet,North,3523
2023-07-17,Smartwatch,East,2667
2023-07-21,Phone,East,1673
2022-09-01,Smartwatch,South,3794
2023-05-20,Headphones,North,3391
2022-05-11,Laptop,South,1346
2023-04-30,Monitor,North,3819
2023-10-09,Phone,East,3939
2022-01-21,Laptop,East,459
2022-06-16,Phone,West,2476
2022-10-01,Camera,North,3109
2023-01-23,Smartwatch,South,3093
2023-08-24,Tablet,West,1062
2022-11-12,Monitor,West,3732
2022-01-14,Smartwatch,West,1927
2022-08-30,Laptop,South,1713
2022-12-12,Camera,West,1740
2023-07-19,Camera,South,2316
2022-12-06,Camera,West,4412
2022-04-02,Laptop,South,477
2023-01-02,Laptop,East,4314
2023-03-31,Laptop,East,4385
2023-03-04,Laptop,East,469
2023-05-24,Camera,East,2296
2022-02-04,Camera,East,3847
2022-07-25,Phone,West,751
2022-03-22,Smartwatch,West,869
2023-07-16,Monitor,West,2521
2023-01-23,Tablet,South,880
2022-01-02,Camera,South,1816
2023-01-25,Tablet,South,4083
2023-07-20,Smartwatch,South,1411
2022-04-16,Smartwatch,East,3459
2023-04-22,Tablet,East,622
2023-12-04,Camera,East,621
2023-02-06,Tablet,North,4978
2023-12-31,Phone,West,2420
2023-07-10,Headphones,South,1035
2022-06-11,Camera,South,2330
2022-07-21,Camera,East,4140
2022-09-27,Monitor,South,4683
2022-09-28,Laptop,South,3797
2023-04-01,Headphones,West,2937
2023-04-07,Smartwatch,East,4183
2023-12-28,Camera,West,2561
2022-09-09,Tablet,North,3343
2023-12-03,Headphones,North,3459
2022-10-23,Monitor,North,785
2023-12-26,Smartwatch,East,2260
2023-12-21,Laptop,South,4088
2022-12-04,Laptop,East,4166
2022-02-22,Monitor,East,1667
2022-08-05,Monitor,South,138
2022-07-07,Tablet,West,2644
